time,power,alpha,beta,gamma
1455713719619,0.97,284.81146240234375,94.56651306152344,-4.5183424949646
1455713719676,0.97,285.1259765625,94.47369384765625,-4.4327874183654785
1455713719738,0.97,285.64715576171875,94.33887481689453,-4.313819408416748
1455713719794,0.97,285.81402587890625,94.30620574951172,-4.28373908996582
1455713719858,0.97,285.87860107421875,94.32331848144531,-4.302371978759766
1455713719915,0.97,285.87286376953125,94.42332458496094,-4.392052173614502
1455713719978,0.97,285.385498046875,94.83560943603516,-4.760732173919678
1455713720034,0.97,284.9338684082031,95.1980209350586,-5.07772159576416
1455713720097,0.97,283.72943115234375,96.11324310302734,-5.870351314544678
1455713720154,0.97,283.08660888671875,96.50598907470703,-6.226067543029785
1455713720217,0.97,281.7851257324219,97.1559066772461,-6.837765693664551
1455713720274,0.97,280.7171936035156,97.68487548828125,-7.333036422729492
1455713720337,0.97,280.25714111328125,97.88619995117188,-7.508298873901367
1455713720394,0.97,279.8765869140625,98.16500091552734,-7.756084442138672
1455713720457,0.97,279.80853271484375,98.21688079833984,-7.797284126281738
1455713720514,0.97,279.79290771484375,98.15311431884766,-7.76590633392334
1455713720577,0.97,279.88543701171875,98.12503814697266,-7.736454486846924
1455713720634,0.97,280.3095703125,97.98283386230469,-7.5964765548706055
1455713720696,0.97,280.6650695800781,97.85712432861328,-7.463328838348389
1455713720754,0.97,281.481201171875,97.6229248046875,-7.199219226837158
1455713720816,0.97,281.8348083496094,97.5556411743164,-7.089198589324951
1455713720872,0.97,282.6075439453125,97.3099136352539,-6.788793087005615
1455713720936,0.97,283.25726318359375,97.06597137451172,-6.52520227432251
1455713720992,0.97,283.57904052734375,96.91806030273438,-6.386645317077637
1455713721072,0.97,283.6918640136719,96.864013671875,-6.289096355438232
1455713721135,0.97,284.1154479980469,96.74028778076172,-6.161126136779785
1455713721193,0.97,284.3150634765625,96.66255950927734,-6.097113609313965
1455713721259,0.97,284.6652526855469,96.51884460449219,-5.990097999572754
1455713721312,0.97,284.8946533203125,96.42394256591797,-5.918872833251953
1455713721375,0.97,285.20025634765625,96.26897430419922,-5.807718276977539
1455713721479,0.97,285.2484130859375,96.24418640136719,-5.794331073760986
1455713721517,0.97,285.3546447753906,96.19194793701172,-5.759770393371582
1455713721573,0.97,285.3336486816406,96.19074249267578,-5.752694606781006
1455713721629,0.97,285.21307373046875,96.1686019897461,-5.727996349334717
1455713721692,0.97,285.0200500488281,96.16326141357422,-5.700293064117432
1455713721750,0.97,284.9521484375,96.19527435302734,-5.689597129821777
1455713721812,0.97,285.0396728515625,96.17755126953125,-5.66459846496582
1455713721870,0.97,285.1903076171875,96.1103515625,-5.583674430847168
1455713721933,0.97,285.29962158203125,96.1556167602539,-5.6075119972229
1455713721989,0.97,285.3128662109375,96.20049285888672,-5.650760650634766
1455713722053,0.97,285.35028076171875,96.18757629394531,-5.643930435180664
1455713722112,0.97,285.3821716308594,96.1659927368164,-5.628958702087402
1455713722175,0.97,285.4625244140625,96.14653015136719,-5.616896629333496
1455713722231,0.97,285.39788818359375,96.21034240722656,-5.662754535675049
1455713722294,0.97,285.31427001953125,96.25764465332031,-5.697383403778076
1455713722352,0.97,285.2101745605469,96.28203582763672,-5.716931343078613
1455713722413,0.97,285.11822509765625,96.3662338256836,-5.793484210968018
1455713722470,0.97,285.1291809082031,96.4244613647461,-5.849314212799072
1455713722534,0.97,284.88079833984375,96.64032745361328,-6.030956268310547
1455713722590,0.97,284.86212158203125,96.72380065917969,-6.100350856781006
1455713722652,0.97,284.8403015136719,96.90682983398438,-6.244781970977783
1455713722710,0.97,284.8589782714844,96.95369720458984,-6.2930169105529785
1455713722773,0.97,285.1068420410156,96.92106628417969,-6.285121440887451
1455713722830,0.97,285.1680908203125,96.9117660522461,-6.285954475402832
1455713722893,0.97,285.04803466796875,96.93016052246094,-6.338219165802002
1455713722949,0.97,284.9703674316406,96.93994903564453,-6.370908260345459
1455713723012,0.97,285.00994873046875,96.92607879638672,-6.4113569259643555
1455713723069,0.97,285.1542053222656,96.90438079833984,-6.400524139404297
1455713723132,0.97,285.5498046875,96.8095932006836,-6.306609153747559
1455713723189,0.97,285.8608703613281,96.76396179199219,-6.245601654052734
1455713723252,0.97,285.93017578125,96.7566146850586,-6.230780124664307
1455713723310,0.97,285.7266540527344,96.7822036743164,-6.233621597290039
1455713723371,0.97,285.57110595703125,96.84578704833984,-6.274397850036621
1455713723428,0.97,285.3719482421875,96.90546417236328,-6.306745529174805
1455713723494,0.97,285.3846740722656,96.88589477539062,-6.281050682067871
1455713723550,0.97,285.4411315917969,96.80665588378906,-6.177955627441406
1455713723611,0.97,285.4957275390625,96.7711181640625,-6.12870979309082
1455713723668,0.97,285.52947998046875,96.74340057373047,-6.080461502075195
1455713723731,0.97,285.5436706542969,96.73883056640625,-6.0696563720703125
1455713723790,0.97,285.77239990234375,96.64041137695312,-5.978978633880615
1455713723850,0.97,285.7779541015625,96.61375427246094,-5.926085472106934
1455713723907,0.97,285.77606201171875,96.63713836669922,-5.937532901763916
1455713723971,0.97,285.9385070800781,96.59525299072266,-5.893874168395996
1455713724026,0.97,285.994873046875,96.58248901367188,-5.858753681182861
1455713724091,0.97,286.1466369628906,96.52645111083984,-5.777719974517822
1455713724147,0.97,286.2912902832031,96.46538543701172,-5.717395782470703
1455713724209,0.97,286.38006591796875,96.4369888305664,-5.683681964874268
1455713724266,0.97,286.4478759765625,96.41533660888672,-5.658560752868652
1455713724331,0.97,286.6544494628906,96.32551574707031,-5.570901870727539
1455713724386,0.97,286.70501708984375,96.28179168701172,-5.518965244293213
1455713724451,0.97,286.72393798828125,96.31645965576172,-5.508187294006348
1455713724506,0.97,286.67169189453125,96.32071685791016,-5.500387191772461
1455713724568,0.97,286.522705078125,96.339111328125,-5.493447780609131
1455713724626,0.97,286.5841369628906,96.29232788085938,-5.447453022003174
1455713724688,0.97,286.5252990722656,96.28272247314453,-5.4293532371521
1455713724746,0.97,286.3986511230469,96.37971496582031,-5.498857021331787
1455713724808,0.97,286.4118957519531,96.40269470214844,-5.5239787101745605
1455713724868,0.97,286.2396240234375,96.40621185302734,-5.553894996643066
1455713724928,0.97,286.255126953125,96.41254425048828,-5.574672222137451
1455713724985,0.97,286.2231140136719,96.48621368408203,-5.645091533660889
1455713725051,0.97,286.0978088378906,96.57814025878906,-5.725592136383057
1455713725105,0.97,285.78497314453125,96.69263458251953,-5.855215549468994
1455713725168,0.97,285.7314147949219,96.74993896484375,-5.919938564300537
1455713725247,0.97,285.45855712890625,96.85408782958984,-6.036256313323975
1455713725287,0.97,285.5164794921875,96.87500762939453,-6.070639610290527
1455713725344,0.97,285.37213134765625,96.926513671875,-6.131496906280518
1455713725407,0.97,285.43255615234375,96.9306411743164,-6.147001266479492
1455713725464,0.97,285.3691711425781,96.94110870361328,-6.169308662414551
1455713725527,0.97,285.30511474609375,97.00115203857422,-6.235260963439941
1455713725586,0.97,285.2485046386719,97.0284423828125,-6.264657974243164
1455713725647,0.97,285.2728576660156,97.0661849975586,-6.288618564605713
1455713725704,0.97,285.40545654296875,97.06868743896484,-6.2759690284729
1455713725768,0.97,285.3967590332031,97.1448745727539,-6.277430534362793
1455713725823,0.97,285.4771423339844,97.17008972167969,-6.266160488128662
1455713725886,0.97,285.6417541503906,97.22411346435547,-6.231667995452881
1455713725942,0.97,285.7207336425781,97.27801513671875,-6.251461982727051
1455713726006,0.97,286.0113525390625,97.29454803466797,-6.223458290100098
1455713726063,0.97,286.0122985839844,97.32782745361328,-6.237924575805664
1455713726126,0.97,286.1070861816406,97.37895202636719,-6.267021179199219
1455713726183,0.97,286.0924072265625,97.41655731201172,-6.332878112792969
1455713726245,0.97,286.05572509765625,97.46760559082031,-6.395210266113281
1455713726303,0.97,286.06488037109375,97.49491119384766,-6.454072952270508
1455713726365,0.97,286.08172607421875,97.48139190673828,-6.440630912780762
1455713726423,0.97,285.9837341308594,97.45498657226562,-6.449974536895752
1455713726485,0.97,285.77117919921875,97.4815444946289,-6.498687744140625
1455713726543,0.97,285.719970703125,97.40406036376953,-6.485081672668457
1455713726605,0.97,285.7759094238281,97.32889556884766,-6.440822124481201
1455713726662,0.97,286.05841064453125,97.16751861572266,-6.328165054321289
1455713726724,0.97,286.15399169921875,97.08824920654297,-6.273468971252441
1455713726782,0.97,286.3681335449219,97.0020751953125,-6.215193748474121
1455713726845,0.97,286.533447265625,96.90921020507812,-6.14276647567749
1455713726902,0.97,286.68536376953125,96.86712646484375,-6.086704254150391
1455713726964,0.97,286.7658386230469,96.89147186279297,-6.0576348304748535
1455713727021,0.97,286.81781005859375,96.87665557861328,-6.033988952636719
1455713727084,0.97,286.72747802734375,96.9579849243164,-6.074095726013184
1455713727142,0.97,286.7098388671875,96.93952178955078,-6.053823947906494
1455713727204,0.97,286.6513366699219,96.91057586669922,-6.007870197296143
1455713727261,0.97,286.51446533203125,96.97704315185547,-6.052580833435059
1455713727324,0.97,286.5177001953125,97.01327514648438,-6.098657131195068
1455713727381,0.97,286.4036865234375,97.03873443603516,-6.127931118011475
1455713727443,0.97,286.2135009765625,97.1252670288086,-6.210453510284424
1455713727501,0.97,286.2589111328125,97.16204071044922,-6.245601654052734
1455713727564,0.97,286.3835754394531,97.11697387695312,-6.207653522491455
1455713727621,0.97,286.5299377441406,97.05213165283203,-6.1275763511657715
1455713727682,0.97,286.5652160644531,96.97594451904297,-6.0704345703125
1455713727741,0.97,286.6552734375,96.84678649902344,-5.975290298461914
